id,factory_name,factory_code,date,po_number,style_number,color_code,ship_id,po_type,po_quantity,wip8_outputs,tqc3_pass_qty,wip8_po_status_increase,fg10_po_status_increase,fg14_po_status_increase,wip8_po_statu_completion_quantity,fg10_po_statu_completion_quantity,fg14_po_statu_completion_quantity
CN_ZS_20260501_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-01,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,188,188,188,168,89,188,168,89
CN_ZS_20260501_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-01,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,186,186,186,122,93,186,122,93
CN_ZS_20260501_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-01,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,165,165,165,82,42,165,82,42
CN_ZS_20260501_CN_ZS-PO-0019_BLK_SH01,中国中山厂,CN_ZS,2026-05-01,CN_ZS-PO-0019,ST001,BLK,SH01,FOB,1000,173,173,173,145,80,173,145,80
CN_ZS_20260501_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-01,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,172,172,172,79,44,172,79,44
CN_ZS_20260501_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-01,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,162,162,162,141,96,162,141,96
CN_ZS_20260502_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-02,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,142,142,142,105,81,328,227,174
CN_ZS_20260502_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-02,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,181,181,181,78,59,346,160,101
CN_ZS_20260502_CN_ZS-PO-0021_NVY_SH06,中国中山厂,CN_ZS,2026-05-02,CN_ZS-PO-0021,ST004,NVY,SH06,FOB,2000,175,175,175,154,101,347,233,145
CN_ZS_20260502_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-02,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,170,170,170,78,46,332,219,142
CN_ZS_20260504_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,157,157,157,110,87,345,278,176
CN_ZS_20260504_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,163,163,163,93,70,163,93,70
CN_ZS_20260504_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,166,166,166,-18,107,494,209,281
CN_ZS_20260504_CN_ZS-PO-0005_PNK_SH07,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0005,ST005,PNK,SH07,CMT,1000,160,160,160,78,25,160,78,25
CN_ZS_20260504_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,185,185,165,85,61,511,245,162
CN_ZS_20260504_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,157,157,157,-17,61,157,0,61
CN_ZS_20260504_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,161,161,161,110,41,161,110,41
CN_ZS_20260504_CN_ZS-PO-0013_WHT_SH08,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0013,ST005,WHT,SH08,FOB,5000,175,175,175,123,48,175,123,48
CN_ZS_20260504_CN_ZS-PO-0014_NVY_SH06,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0014,ST004,NVY,SH06,CMT,8000,179,179,179,76,51,179,76,51
CN_ZS_20260504_CN_ZS-PO-0023_TEA_SH10,中国中山厂,CN_ZS,2026-05-04,CN_ZS-PO-0023,ST007,TEA,SH10,CMT,3000,202,202,202,89,51,534,308,193
CN_ZS_20260505_CN_ZS-PO-0002_BLK_SH04,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0002,ST003,BLK,SH04,FOB,8000,188,188,188,159,83,533,437,259
CN_ZS_20260505_CN_ZS-PO-0003_NVY_SH10,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0003,ST007,NVY,SH10,CMT,2000,164,164,164,129,88,327,222,158
CN_ZS_20260505_CN_ZS-PO-0004_BLK_SH01,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0004,ST001,BLK,SH01,CMT,2000,171,171,-34,-19,-13,460,190,268
CN_ZS_20260505_CN_ZS-PO-0008_BLK_SH01,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0008,ST001,BLK,SH01,FOB,800,162,162,162,83,49,162,83,49
CN_ZS_20260505_CN_ZS-PO-0009_NVY_SH06,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0009,ST004,NVY,SH06,FOB,800,124,124,124,54,32,635,299,194
CN_ZS_20260505_CN_ZS-PO-0010_RED_SH02,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0010,ST001,RED,SH02,FOB,5000,193,193,193,123,52,350,123,113
CN_ZS_20260505_CN_ZS-PO-0011_TEA_SH10,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0011,ST007,TEA,SH10,FOB,1000,163,163,163,125,64,324,235,105
CN_ZS_20260505_CN_ZS-PO-0015_YLW_SH04,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0015,ST003,YLW,SH04,FOB,1000,170,170,170,129,57,170,129,57
CN_ZS_20260505_CN_ZS-PO-0016_NVY_SH10,中国中山厂,CN_ZS,2026-05-05,CN_ZS-PO-0016,ST007,NVY,SH10,CMT,1500,176,176,176,122,62,176,122,62
